name,ipc,cycles,empty,stalls,lost,lost_other,bad_spec,stall_be,stall_l1d,stall_be_core,stall_fe,stall_l1i,stall_fe_core,ret_inst,ret_simd,ret_int,ret_ctrl_flow_br,bp_miss,l1i_ref,l1i_miss,l1d_ref,l1d_miss,l1i_hit,l1d_hit,li1_hr,li1_mpki,ld1_hr,ld1_mpki,bp_acc,bp_mpki
ustress_branch_direct,0.936,50001966,3201850,257,3201593,79,3201514,137,0,137,120,109,11,46800116,0,46800116,3400004,1600760,50001696,21,12,0,50001675,12,100.0,0.0,100.0,0.0,52.92,34.2
ustress_branch_indirect,0.907,39819474,3714850,3714754,96,78,18,1238339,24,1238315,2476415,49,2476366,36104624,0,36104624,100016,12,36104707,10,17331854,4,36104697,17331850,100.0,0.0,100.0,0.0,99.99,0.0
ustress_call_return,0.81,51774784,9828737,9822626,6111,79,6032,3828514,3828376,138,5994112,99,5994013,41946047,0,41946047,1503004,3018,41952144,21,4497020,390059,41952123,4106961,100.0,0.0,91.33,9.3,99.8,0.07
ustress_div32,0.07,45600297,42400254,42400169,85,77,8,42400139,0,42400139,30,19,11,3200043,0,3200043,400004,7,3200118,5,16,0,3200113,16,100.0,0.0,100.0,0.0,100.0,0.0
ustress_div64,0.658,48812088,16711504,16182067,529437,83,529354,15381961,6,15381955,800106,92,800014,32100584,0,32100584,4180004,264680,32629997,21,400039,1,32629976,400038,100.0,0.0,100.0,0.0,93.67,8.25
ustress_l1d_cache,0.405,52161601,31040893,30720756,320137,77,320060,30720503,30720366,137,253,220,33,21120708,0,21120708,5280088,160033,21440828,42,5120129,5120038,21440786,91,100.0,0.0,0.0,242.42,96.97,7.58
ustress_l1i_cache,0.308,47700837,33000338,33000199,139,79,60,600163,12,600151,32400036,23400025,9000011,14700499,0,14700499,300200,33,14700623,3900008,5100121,2,10800615,5100119,73.47,265.3,100.0,0.0,99.99,0.0
ustress_load_after_store,0.587,57165476,23603105,23603003,102,92,10,23602759,23602626,133,244,231,13,33562371,0,33562371,54100,8,33562447,50,11554131,2900262,33562397,8653869,100.0,0.0,74.9,86.41,99.99,0.0
ustress_mac32,0.769,52000294,12000254,12000169,85,77,8,12000131,0,12000131,38,19,19,40000040,0,40000040,4000004,8,40000111,9,16,0,40000102,16,100.0,0.0,100.0,0.0,100.0,0.0
ustress_mac64,1.0,53750318,271,180,91,83,8,129,0,129,51,41,10,53750047,0,53750047,1250004,7,53750119,9,21,0,53750110,21,100.0,0.0,100.0,0.0,100.0,0.0
ustress_memcpy,0.995,52483320,241278,81121,160157,77,160080,731,586,145,80390,333,80057,52242042,0,52242042,2840321,80044,52402177,64,41001183,78,52402113,41001105,100.0,0.0,100.0,0.0,97.18,1.53
ustress_mul32,0.75,56000288,14000248,14000161,87,79,8,14000129,0,14000129,32,16,16,42000040,0,42000040,7000004,7,42000113,6,16,0,42000107,16,100.0,0.0,100.0,0.0,100.0,0.0
ustress_mul64,0.929,56000305,4000258,4000173,85,77,8,4000137,0,4000137,36,27,9,52000047,0,52000047,2000004,7,52000120,7,21,0,52000113,21,100.0,0.0,100.0,0.0,100.0,0.0
